ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Country_numeric,Continent_numeric,Child friendly_numeric,Snowparks_numeric,Nightskiing_numeric,Summer skiing_numeric,Season_numeric,key,Rank,Other_name,Rating,rank
152,Le Grand Massif-Flaine-?Les Carroz-?Morillon-?Samoe?ns-?Sixt,46.0298218,6.695615648,France,Europe,47,December - April,2476,694,135,95,35,265,14,1100,34,29,9,72,97624,Yes,Yes,No,No,8,0,1,1,0,0,5,le grand massif flaine les carroz morillon samoe ns sixt,15.0,Le Grand Massif,1139.6,15.0
153,Mege?ve-?Saint-Gervais,45.845128,6.685666167,France,Europe,46,December - April,2353,850,98,134,31,263,5,888,50,27,9,86,106362,Yes,Yes,Yes,No,8,0,1,1,1,0,5,mege ve saint gervais,26.0,Megève/Saint-Gervais,1121.4,26.0
154,Big Sky Resort,45.2839783,-111.401115,USA,North America,110,November - April,3398,2072,55,69,126,250,9,0,11,22,1,34,36283,Yes,Yes,No,No,10,1,1,1,0,0,6,big sky,29.0,Big Sky Resort,1117.4,29.0
155,Snowmass,39.3316513,-106.986156,USA,North America,124,November - April,3813,2473,14,111,111,236,8,0,6,13,2,21,27765,Yes,Yes,Yes,No,10,1,1,1,1,0,6,snowmass,37.0,Snowmass,1107.9,37.0
156,Soldeu-Pas de la Casa/?Grau Roig/?El Tarter/?Canillo/?Encamp (Grandvalira),42.5768944,1.6682694,Andorra,Europe,47,November - April,2640,1710,100,77,33,210,0,1032,37,28,7,72,99017,Yes,Yes,Yes,No,11,0,1,1,1,0,6,soldeu pas de la casa grau roig el tarter canillo encamp grandvalira,,,,
157,Laax-?Flims-?Falera,46.849618,9.217180661,Switzerland,Europe,68,October - April,3018,1100,88,81,19,188,14,300,13,9,11,33,46116,Yes,Yes,No,No,6,0,1,1,0,0,7,laax flims falera,38.0,Laax,1105.2,38.0
158,Vars-?Risoul-La Fore?t Blanche,47.5343201,5.5342065,France,Europe,39,December - April,2750,1650,75,90,20,185,0,0,32,17,2,51,50145,Yes,Yes,Yes,No,8,0,1,1,1,0,5,vars risoul la fore t blanche,126.0,Vars/Risoul,1038.9,126.0
159,Le Grand Domaine-Valmorel-?Doucy-?Celliers-?St Franc?ois Longchamp,48.618833,-2.2673293,France,Europe,44,December - April,2550,1250,115,35,15,165,0,332,36,17,3,56,60248,Yes,Yes,No,No,8,0,1,1,0,0,5,le grand domaine valmorel doucy celliers st franc ois longchamp,93.0,Le Grand Domaine,1058.9,93.0
160,Galibier Thabor-Valmeinier-?Valloire,45.1604887,6.464502618,France,Europe,39,December - April,2594,1430,75,60,15,150,0,400,12,17,2,31,43300,Yes,Yes,Yes,No,8,0,1,1,1,0,5,galibier thabor valmeinier valloire,101.0,Galibier Thabor,1050.4,101.0
161,Zillertal Arena-Zell am Ziller-?Gerlos-?Ko?nigsleiten-?Hochkrimml,47.24372605,12.03918599,Austria,Europe,52,December - April,2500,580,43,89,11,143,10,792,22,21,13,56,89415,Yes,Yes,No,No,1,0,1,1,0,0,5,zillertal arena zell am ziller gerlos ko nigsleiten hochkrimml,1594.0,Wexl Arena,878.1,1594.0
162,La Molina-?Masella-Alp2500,42.3427392,1.9562059,Spain,Europe,45,November - April,2531,1616,76,47,18,141,0,1010,19,13,1,33,39750,Yes,Yes,Yes,No,18,0,1,1,1,0,6,la molina masella alp2500,,,,
163,Lake Louise,51.4249668,-116.177535,Canada,North America,66,November - May,2637,1646,35,62,42,139,8,0,4,5,1,10,14040,Yes,Yes,No,No,2,1,1,1,0,0,7,lake louise,304.0,Lake Louise,991.9,304.0
164,Auron-Saint-Etienne-de-Tine?e-,44.2262702,6.9309839,France,Europe,34,December - April,1600,1150,60,45,30,135,8,440,7,9,3,19,25030,Yes,Yes,No,No,8,0,1,1,0,0,5,auron saint etienne de tine e,355.0,Auron,982.1,355.0
165,Powder Mountain,48.8773577,-120.7676146,USA,North America,67,November - April,2712,2101,30,50,55,135,0,0,3,6,0,9,13470,Yes,Yes,Yes,No,10,1,1,1,1,0,6,powder,49.0,Mustang Powder,1094.6,49.0
166,Keystone,41.9988889,-92.1979353,USA,North America,120,November - April,3651,2835,25,65,45,135,5,0,7,11,4,22,30500,Yes,Yes,Yes,No,10,1,1,1,1,0,6,keystone,85.0,Keystone,1063.6,85.0
167,Alta Badia,46.56467025,11.91021932,Italy,Europe,52,December - April,2550,1324,70,52,8,130,8,391,18,30,11,59,89327,Yes,Yes,No,No,7,0,1,1,0,0,5,alta badia,1414.0,Ala di Stura,886.7,1414.0
168,Killington,43.67433,-72.7784445,USA,North America,90,November - May,1285,355,37,43,46,126,9,1500,5,15,3,23,41660,Yes,Yes,No,No,10,1,1,1,0,0,7,killington,140.0,Killington,1033.4,140.0
169,Copper Mountain,37.4781086,-90.3856733,USA,North America,89,November - April,3767,2926,30,40,56,126,0,0,7,15,1,23,29084,Yes,Yes,No,No,10,1,1,1,0,0,6,copper,92.0,Copper Mountain,1059.2,92.0
170,La Clusaz-?Manigod,45.883562,6.419691113,France,Europe,37,December - April,2477,1040,62,40,23,125,0,223,28,14,7,49,59346,Yes,Yes,Yes,No,8,0,1,1,1,0,5,la clusaz manigod,76.0,La Clusaz,1071.3,76.0
171,Espace Villard Correnc?on-Villard-de-Lans-?Correnc?on-en-Vercors,45.044532,5.559564,France,Europe,36,December - April,2050,1050,50,50,25,125,0,339,18,7,3,28,26600,Yes,Yes,No,No,8,0,1,1,0,0,5,espace villard correnc on villard de lans correnc on en vercors,1337.0,Lans en Vercors,890.8,1337.0
172,Val Cenis-Lanslevillard-?Lanslebourg-?Termignon,45.2768658,6.8170409,France,Europe,36,December - April,2800,1300,73,42,10,125,0,200,13,13,2,28,39824,Yes,Yes,Yes,No,8,0,1,1,1,0,5,val cenis lanslevillard lanslebourg termignon,107.0,Val Cenis,1046.5,107.0
173,Isola 2000,44.1869246,7.145441205,France,Europe,34,December - April,2603,1800,75,35,10,120,8,430,12,7,3,22,21807,Yes,Yes,Yes,No,8,0,1,1,1,0,5,isola 2000,332.0,Isola 2000,987.1,332.0
174,Obersaxen-?Mundaun-?Val Lumnezia,46.7487613,9.1022712,Switzerland,Europe,51,December - April,2310,1201,60,40,20,120,15,297,10,9,0,19,20720,Yes,Yes,Yes,No,6,0,1,1,1,0,5,obersaxen mundaun val lumnezia,226.0,Obersaxen/Mundaun,1010.4,226.0
175,Les 7 Laux-Prapoutel-?Le Pleynet-?Pipay,45.2602174,6.033591377,France,Europe,36,December - April,2400,1350,46,36,38,120,0,200,15,8,1,24,32232,Yes,Yes,No,No,8,0,1,1,0,0,5,les 7 laux prapoutel le pleynet pipay,262.0,Les 7 Laux,1001.1,262.0
176,Corvatsch-?Furtschellas,46.4450516,9.819511761,Switzerland,Europe,69,November - May,3303,1797,13,89,17,119,9,0,5,6,3,14,18510,Yes,Yes,Yes,No,6,0,1,1,1,0,7,corvatsch furtschellas,89.0,Corvatsch,1062.2,89.0
177,Sugarloaf,38.3481772,-76.0335483,USA,North America,81,November - April,1286,426,28,40,51,119,5,0,2,12,0,14,20720,Yes,Yes,No,No,10,1,1,1,0,0,6,sugarloaf,379.0,Sugarloaf,978.4,379.0
178,Silver Star,45.015082,-75.6437706,Canada,North America,62,November - April,1915,1155,20,50,45,115,8,0,4,6,0,10,12000,Yes,Yes,Yes,No,2,1,1,1,1,0,6,silver star,795.0,Silver Mountain,925.7,795.0
179,Taos,36.4072377,-105.573284,USA,North America,84,November - April,3795,2805,27,28,58,113,0,0,4,11,0,15,17000,Yes,Yes,No,No,10,1,1,1,0,0,6,taos,135.0,Taos,1034.7,135.0
180,Nassfeld-Hermagor,46.58465625,13.24612886,Austria,Europe,46,December - April,2002,600,30,69,11,110,7,483,16,9,5,30,49386,Yes,Yes,Yes,No,1,0,1,1,1,0,5,nassfeld hermagor,103.0,Nassfeld,1049.3,103.0
181,Sunshine Village,51.08952535,-115.7622016,Canada,North America,66,November - May,2730,1660,25,50,34,109,8,2,2,9,1,12,20950,Yes,Yes,No,No,2,1,1,1,0,0,7,sunshine village,189.0,Sunshine Village,1020.3,189.0
182,Mondole? Ski-Artesina-?Frabosa Soprana-?Prato Nevoso,44.249446,7.775081,Italy,Europe,33,Unknown,807,803,42,51,11,104,0,0,19,14,0,33,26068,Yes,Yes,Yes,No,7,0,1,1,1,0,0,mondole artesina frabosa soprana prato nevoso,321.0,Mondolè Ski,989.7,321.0
183,Aletsch Arena-Riederalp-?Bettmeralp-?Fiesch Eggishorn,46.3895305,8.0609271,Switzerland,Europe,53,December - April,1845,759,42,50,12,104,4,258,18,8,12,38,41109,Yes,Yes,Yes,No,6,0,1,1,1,0,5,aletsch arena riederalp bettmeralp fiesch eggishorn,113.0,Aletsch Arena,1044.6,113.0
184,Bad Kleinkirchheim-?St. Oswald,46.8442215,13.7662406,Austria,Europe,47,December - April,2055,1087,18,77,8,103,7,800,17,7,4,28,31186,Yes,Yes,Yes,No,1,0,1,1,1,0,5,bad kleinkirchheim st oswald,237.0,Bad Kleinkirchheim,1008.2,237.0
185,Snowbird,40.5807546,-111.6572955,USA,North America,99,November - May,3353,2365,27,38,38,103,5,0,2,10,1,13,17900,Yes,Yes,Yes,No,10,1,1,1,1,0,7,snowbird,60.0,Snowbird,1081.8,60.0
186,Bardonecchia,45.078339,6.703205,Italy,Europe,36,December - April,2694,1312,54,38,8,100,0,0,13,9,1,23,27588,Yes,Yes,No,No,7,0,1,1,0,0,5,bardonecchia,199.0,Bardonecchia,1017.3,199.0
187,Saint-Lary-Soulan,42.816936,0.3219538,France,Europe,42,December - April,1600,812,60,30,10,100,3,290,17,11,3,31,38733,Yes,Yes,Yes,No,8,0,1,1,1,0,5,saint lary soulan,201.0,Saint-Lary-Soulan,1017.0,201.0
188,Orcie?res Merlette 1850,44.6972064,6.3235516,France,Europe,34,December - April,2725,1850,55,38,7,100,0,0,20,7,3,30,29605,Yes,Yes,No,No,8,0,1,1,0,0,5,orcie res merlette 1850,206.0,Orcières Merlette 1850,1015.4,206.0
189,De?voluy-Superde?voluy-?La Joue du Loup,44.68440895,5.898484198,France,Europe,36,December - April,2450,1450,60,30,10,100,0,180,18,5,1,24,27646,Yes,Yes,No,No,8,0,1,1,0,0,5,de voluy superde voluy la joue du loup,185.0,Espace Lumière – Pra Loup/Val d’Allos,1020.9,185.0
190,Grand Tourmalet-?Pic du Midi-La Mongie-?Bare?ges,42.9087613,0.1674113,France,Europe,42,November - April,2500,1250,58,35,7,100,6,0,21,15,2,38,40231,Yes,Yes,No,No,8,0,1,1,0,0,6,grand tourmalet pic du midi la mongie bare ges,145.0,Grand Tourmalet,1032.4,145.0
191,Mt. Rose,40.369273,-74.7390499,USA,North America,93,November - April,2957,2407,20,30,50,100,3,0,2,6,0,8,15000,Yes,Yes,No,No,10,1,1,1,0,0,6,rose,270.0,Mt. Rose,999.2,270.0
192,Mt. Buller,-37.2694615,146.4008688,Australia,Oceania,87,May - October,1790,1390,25,45,30,100,2,216,13,13,1,27,33600,Yes,Yes,Yes,Yes,12,2,1,1,1,1,6,buller,,,,
193,Mt. Baker,48.7767701,-121.814566,USA,North America,50,November - May,1525,1070,24,45,31,100,3,0,2,8,0,10,15500,Yes,Yes,No,No,10,1,1,1,0,0,7,baker,183.0,Mt. Baker,1021.0,183.0
194,Alpine Meadows,39.1785177,-120.2276948,USA,North America,102,November - April,2632,2083,25,40,35,100,5,0,2,11,0,13,16200,Yes,Yes,No,No,10,1,1,1,0,0,6,alpine meadows,1904.0,Alpine Valley,865.5,1904.0
195,Deer Valley,48.1815678,-117.3007731,USA,North America,109,December - April,2917,2003,27,41,32,100,3,0,3,20,1,24,46600,Yes,No,No,No,10,1,1,0,0,0,5,deer,96.0,Deer Valley,1055.2,96.0
196,Perisher,-36.3961667,148.408582,Australia,Oceania,0,June - October,1605,1125,22,60,18,100,3,271,34,14,1,49,46975,Yes,Yes,Yes,Yes,12,2,1,1,1,1,5,perisher,,,,
197,Wolf Creek,42.6955158,-123.3952995,USA,North America,56,November - April,3628,3139,20,35,45,100,0,0,2,7,0,9,11200,Yes,No,No,No,10,1,1,0,0,0,6,wolf creek,351.0,Wolf Creek,982.7,351.0
198,Wenatchee-Mission Ridge,47.4234599,-120.310349,USA,North America,54,November - April,2078,1392,10,60,30,100,3,0,2,4,0,6,4910,Yes,No,Yes,No,10,1,1,0,1,0,6,wenatchee mission ridge,625.0,Mission Ridge,942.0,625.0
199,Mt. Bachelor,43.9792818,-121.688365,USA,North America,79,November - May,2763,1737,15,25,60,100,4,0,2,11,0,13,25900,Yes,Yes,No,No,10,1,1,1,0,0,7,bachelor,90.0,Mt. Bachelor,1060.3,90.0
200,Northstar California Resort,39.274701,-120.12192,USA,North America,120,November - April,2624,1929,25,45,27,97,4,0,7,10,3,20,28002,Yes,Yes,No,No,10,1,1,1,0,0,6,northstar california,79.0,Northstar California,1067.9,79.0
201,Parsenn (Davos Klosters),46.842102,9.835342208,Switzerland,Europe,61,November - April,2844,810,20,60,16,96,12,169,4,6,8,18,26795,Yes,Yes,No,No,6,0,1,1,0,0,6,parsenn davos klosters,39.0,Parsenn,1104.8,39.0
202,Schweitzer Mountain Resort,48.368467,-116.623291,USA,North America,66,November - April,1950,1206,20,40,35,95,4,0,2,7,0,9,14200,Yes,Yes,Yes,No,10,1,1,1,1,0,6,schweitzer,324.0,Schweitzer,989.0,324.0
203,Heavenly,33.741419,-117.7555797,USA,North America,120,November - April,3060,2001,18,42,34,94,8,265,8,18,2,28,42790,Yes,Yes,No,No,10,1,1,1,0,0,6,heavenly,57.0,Heavenly,1084.1,57.0
204,Castle Mountain,51.3065203,-115.9455963,Canada,North America,50,December - April,2273,1410,9,20,65,94,5,0,3,4,1,8,6100,Yes,Yes,No,No,2,1,1,1,0,0,5,castle,328.0,Castle Mountain,987.6,328.0
205,Oberau (Wildscho?nau),47.4234974,12.0307428,Austria,Europe,30,December - March,1130,900,1,0,1,2,0,0,2,0,0,2,1932,Yes,No,No,No,1,0,1,0,0,0,4,oberau wildscho nau,1730.0,Oberau,872.0,1730.0
206,Loveland,40.3977612,-105.0749801,USA,North America,61,October - May,3871,3245,12,38,43,93,3,0,2,9,0,11,13000,Yes,Yes,No,No,10,1,1,1,0,0,8,loveland,274.0,Loveland,998.4,274.0
207,Stratton,43.0428562,-72.9109334,USA,North America,90,November - April,1181,600,60,20,12,92,0,0,3,9,1,13,26900,Yes,Yes,Yes,No,10,1,1,1,1,0,6,stratton,386.0,Stratton,977.3,386.0
208,Falls Creek,-36.878683,147.2441791,Australia,Oceania,87,June - September,1780,1500,15,65,12,92,3,0,6,8,0,14,19992,Yes,Yes,Yes,Yes,12,2,1,1,1,1,4,falls creek,1457.0,Mountain Creek,884.0,1457.0
209,Bald Mountain-Sun Valley,43.6829549,-114.4019636,USA,North America,107,December - April,2788,1752,35,40,17,92,0,0,1,12,1,14,24500,Yes,No,No,No,10,1,1,0,0,0,5,bald sun,200.0,Bald Mountain,1017.2,200.0
210,Åre,63.4010888,13.0822241,Sweden,Europe,45,November - May,1274,380,45,38,8,91,6,0,27,5,4,36,39000,Yes,Yes,Yes,No,19,0,1,1,1,0,7,are,95.0,Åre,1055.6,95.0
211,Whitefish Mountain Resort,48.48108275,-114.3578504,USA,North America,65,December - April,2078,1361,18,46,27,91,5,0,3,12,0,15,22600,Yes,Yes,Yes,No,10,1,1,1,1,0,5,whitefish,383.0,Whitefish Mountain Resort,978.0,383.0
212,Alto Sangro-Roccaraso-?Rivisondoli,41.848167,14.079594,Italy,Europe,41,December - April,2141,1309,37,32,20,89,0,0,11,11,4,26,36602,Yes,No,No,No,7,0,1,0,0,0,5,alto sangro roccaraso rivisondoli,279.0,Alto Sangro,997.1,279.0
213,Chamrousse,45.1171487,5.893161879,France,Europe,34,December - April,2250,1400,45,35,10,90,0,78,8,7,1,16,24398,Yes,Yes,Yes,No,8,0,1,1,1,0,5,chamrousse,388.0,Chamrousse,977.0,388.0
214,Valberg-?Beuil les Launes,44.0956228,6.9301384,France,Europe,32,December - April,2020,1412,45,35,10,90,0,400,22,7,0,29,25940,Yes,Yes,No,No,8,0,1,1,0,0,5,valberg beuil les launes,2706.0,Les Gentianes,834.7,2706.0
215,Mt. Hood Meadows,45.338708,-121.6655282,USA,North America,76,November - April,2225,1378,13,45,31,89,4,0,0,11,0,11,20603,Yes,Yes,Yes,No,10,1,1,1,1,0,6,hood meadows,194.0,Mt. Hood Meadows,1018.7,194.0
216,Sugar Bowl,42.9932326,-115.2420141,USA,North America,98,November - April,2555,2098,15,40,34,89,4,0,2,12,1,15,25544,Yes,Yes,No,No,10,1,1,1,0,0,6,sugar bowl,241.0,Sugar Bowl,1006.8,241.0
217,Mammoth Mountain,37.6307692,-119.032634,USA,North America,114,November - June,3369,2424,18,48,22,88,6,120,9,22,3,34,54830,Yes,Yes,No,No,10,1,1,1,0,0,8,mammoth,61.0,Mammoth Mountain,1081.4,61.0
218,Telluride,37.9374939,-107.812285,USA,North America,110,November - April,3815,2659,6,51,29,86,7,0,4,11,5,20,22638,Yes,Yes,No,No,10,1,1,1,0,0,6,telluride,73.0,Telluride,1072.6,73.0
219,Adelboden-?Lenk-Chuenisba?rgli-?Silleren-?Hahnenmoos-?Metsch,46.4927213,7.5587618,Switzerland,Europe,55,December - April,1260,1072,44,38,6,88,6,500,12,8,6,26,34620,Yes,Yes,Yes,No,6,0,1,1,1,0,5,adelboden lenk chuenisba rgli silleren hahnenmoos metsch,144.0,Adelboden/Lenk,1032.5,144.0
220,Rinderberg-?Saanerslochgrat-?Horneggli-Zweisimmen-?Saanenmo?ser-?Scho?nried-?St. Stephan,46.9463748,8.0499977,Switzerland,Europe,54,December - April,2011,948,62,21,4,87,0,0,9,8,4,21,18360,Yes,Yes,Yes,No,6,0,1,1,1,0,5,rinderberg saanerslochgrat horneggli zweisimmen saanenmo ser scho nried st stephan,159.0,Rinderberg/Saanerslochgrat/Horneggli,1028.4,159.0
221,Sugarbush,44.5417138,-73.9698685,USA,North America,83,November - April,1240,452,17,40,30,87,5,351,3,13,0,16,25652,Yes,Yes,No,No,10,1,1,1,0,0,6,sugarbush,239.0,Sugarbush,1007.4,239.0
222,Graukogel-Bad Gastein,47.1110862,13.15623357,Austria,Europe,36,December - March,2007,1079,3,6,2,11,0,0,1,2,0,3,3352,Yes,No,No,No,1,0,1,0,0,0,4,graukogel bad gastein,363.0,Graukogel,981.0,363.0
223,Marmot Basin-Jasper,52.8005917,-118.0833546,Canada,North America,60,November - April,2410,1698,26,26,34,86,5,0,1,6,0,7,11600,Yes,Yes,No,No,2,1,1,1,0,0,6,marmot basin jasper,469.0,Marmot Basin,964.3,469.0
224,Les Portes du Mont-Blanc-Combloux-?Mege?ve le Jaillet-?La Giettaz,44.868928,5.594792482,France,Europe,35,December - April,1835,1113,28,50,7,85,0,0,16,8,1,25,29842,Yes,No,No,No,8,0,1,0,0,0,5,les portes du mont blanc combloux mege ve le jaillet la giettaz,1150.0,Mont Blanc,901.8,1150.0
225,Purgatory-Durango,37.5558754,-107.7795294,USA,North America,76,November - April,3299,2680,15,40,30,85,0,0,2,9,0,11,16700,Yes,Yes,No,No,10,1,1,1,0,0,6,purgatory durango,395.0,Purgatory,975.9,395.0
226,Le Grand Bornand,45.9418675,6.4271457,France,Europe,37,December - April,2100,1000,49,27,8,84,0,233,18,13,2,33,36904,Yes,Yes,Yes,No,8,0,1,1,1,0,5,le grand bornand,212.0,Le Grand Bornand,1014.2,212.0
227,Sunday River,44.4627415,-70.8196141,USA,North America,85,October - April,957,250,30,40,14,84,4,0,1,13,1,15,29950,Yes,Yes,Yes,No,10,1,1,1,1,0,7,sunday river,352.0,Sunday River,982.6,352.0
228,Kaltenbach-Hochzillertal-?Hochfu?gen-SKi-optimal-,47.27705405,11.8486795,Austria,Europe,52,November - April,2378,600,28,41,13,82,11,400,22,12,5,39,59933,Yes,Yes,Yes,No,1,0,1,1,1,0,6,kaltenbach hochzillertal hochfu gen optimal,45.0,Kaltenbach – Hochzillertal,1095.9,45.0
229,Shigakogen Mountain Resort,36.716356,138.492755,Japan,Asia,39,December - May,2307,1335,41,30,12,83,0,0,0,54,4,58,83750,Yes,Yes,Yes,No,15,4,1,1,1,0,6,shigakogen,132.0,Shigakogen Mountain Resort,1035.6,132.0
230,Grimentz-?Zinal,46.1776631,7.5744978,Switzerland,Europe,51,December - April,2900,1570,26,28,26,80,0,96,13,5,3,21,19345,Yes,Yes,No,No,6,0,1,1,0,0,5,grimentz zinal,116.0,Grimentz/Zinal,1043.6,116.0
231,Kimberley,49.6850876,-115.9819477,Canada,North America,49,December - April,1982,1230,15,35,30,80,6,11,2,3,0,5,5452,Yes,Yes,Yes,No,2,1,1,1,1,0,5,kimberley,600.0,Kimberley,945.2,600.0
232,Civetta-Alleghe-?Selva di Cadore-?Palafavera-?Zoldo,46.358117,12.05748586,Italy,Europe,43,December - April,2100,1000,30,44,6,80,0,100,10,10,3,23,33289,Yes,Yes,Yes,No,7,0,1,1,1,0,5,civetta alleghe selva di cadore palafavera zoldo,188.0,Civetta,1020.7,188.0
233,Ax les Thermes,42.7193597,1.8379765,France,Europe,37,December - April,1400,720,40,25,15,80,0,0,11,6,2,19,21320,Yes,Yes,No,No,8,0,1,1,0,0,5,ax les thermes,484.0,Les Karellis,963.0,484.0
234,Mzaar Kfardebian,33.9721286,35.8395666,Lebanon,Asia,51,Unknown,2465,1850,46,30,4,80,0,0,0,0,0,0,0,Yes,No,No,No,20,4,1,0,0,0,0,mzaar kfardebian,,,,
235,Yellowstone Club,45.6681984,-111.067446,USA,North America,0,November - April,3005,2182,30,30,20,80,4,0,4,11,0,15,14886,Yes,No,No,No,10,1,1,0,0,0,6,yellowstone club,198.0,Yellowstone Club,1017.4,198.0
236,Damu?ls Mellau,47.314039,9.894201083,Austria,Europe,49,December - April,2050,690,37,39,1,77,7,130,10,13,2,25,37160,Yes,Yes,No,No,1,0,1,1,0,0,5,damu ls mellau,91.0,Damüls Mellau,1059.8,91.0
237,Mont Tremblant,46.11588,-74.5891426,Canada,North America,60,November - April,875,230,16,25,37,78,6,1041,3,8,3,14,24700,Yes,Yes,No,No,2,1,1,1,0,0,6,mont tremblant,400.0,Tremblant,975.1,400.0
238,Smugglers' Notch,41.0514432,-85.3239218,USA,North America,65,November - April,1112,314,13,41,24,78,4,0,3,6,0,9,7053,Yes,Yes,No,No,10,1,1,1,0,0,6,smugglers notch,2618.0,Northeast Slopes,838.3,2618.0
239,Rosa Khutor,43.6709708,40.2970765,Russia,Europe,22,December - April,2320,940,30,26,21,77,7,450,6,11,10,27,49228,Yes,Yes,No,No,21,0,1,1,0,0,5,rosa khutor,,,,
240,Zell am See,47.3239636,12.7963165,Austria,Europe,50,December - April,2000,760,30,28,19,77,6,450,9,10,8,27,48407,Yes,Yes,Yes,No,1,0,1,1,1,0,5,zell am see,5.0,Zell am See-Kaprun,1181.7,5.0
241,Cerler,42.5927404,0.5384221,Spain,Europe,42,December - April,2621,1505,35,27,14,76,0,0,10,9,0,19,20670,Yes,Yes,No,No,18,0,1,1,0,0,5,cerler,169.0,Cerler,1025.2,169.0
242,Jay Peak,47.6313713,-120.8295337,USA,North America,70,Unknown,1175,563,15,31,30,76,0,0,2,6,1,9,11675,Yes,No,No,No,10,1,1,0,0,0,0,jay peak,372.0,Jay Peak,979.6,372.0
243,Three Peaks Dolomites-Helm-?Stiergarten-?Rotwand-?Kreuzbergpass,46.731048,12.327947,Italy,Europe,51,November - April,2200,1130,17,39,18,74,4,250,20,4,6,30,21535,Yes,Yes,No,No,7,0,1,1,0,0,6,three peaks dolomites helm stiergarten rotwand kreuzbergpass,124.0,3 Zinnen Dolomites,1039.5,124.0
244,Puy St. Vincent,44.8279543,6.4926273,France,Europe,34,December - April,2677,1407,28,34,13,75,0,95,4,8,0,12,17155,Yes,Yes,Yes,No,8,0,1,1,1,0,5,puy st vincent,289.0,Puy-Saint-Vincent,995.5,289.0
245,Angel Fire,36.3930879,-105.2850091,USA,North America,62,December - March,3256,2591,40,28,7,75,4,0,2,5,0,7,7200,Yes,Yes,Yes,No,10,1,1,1,1,0,4,angel fire,538.0,Angel Fire,952.9,538.0
246,Folgaria-?Fiorentini,45.9149727,11.173015,Italy,Europe,40,December - April,1850,1200,36,32,5,73,3,280,13,17,0,30,35900,Yes,Yes,No,No,7,0,1,1,0,0,5,folgaria fiorentini,344.0,Folgaria,984.4,344.0
247,Titlis-Engelberg,46.8228773,8.400657035,Switzerland,Europe,57,October - May,3020,1000,34,26,12,72,12,180,7,6,7,20,23316,Yes,Yes,No,No,6,0,1,1,0,0,8,titlis engelberg,1001.0,Sarn (Heinzenberg),910.4,1001.0
248,Trysil,61.3561472,12.36702596,Norway,Europe,46,October - May,1100,415,33,18,20,71,5,418,29,7,0,36,36182,Yes,Yes,Yes,No,0,0,1,1,1,0,8,trysil,655.0,Trysil,938.4,655.0
249,Nauders am Reschenpass-Bergkastel,46.87101815,10.53500477,Austria,Europe,42,December - April,2850,1400,24,34,13,71,9,92,11,5,1,17,17651,Yes,Yes,No,No,1,0,1,1,0,0,5,nauders am reschenpass bergkastel,141.0,Nauders am Reschenpass,1033.4,141.0
250,Bridger Bowl-Bozeman,45.7032833,-111.0255228,USA,North America,49,December - April,2682,1860,20,26,25,71,5,0,1,8,0,9,11900,Yes,Yes,No,No,10,1,1,1,0,0,5,bridger bowl bozeman,442.0,Bridger Bowl,967.6,442.0
251,Brian Head,37.6927551,-112.8507766,USA,North America,59,November - April,3328,2926,22,24,25,71,0,0,3,8,0,11,13200,Yes,No,Yes,No,10,1,1,0,1,0,6,brian head,542.0,Brian Head,952.2,542.0
252,Grossarltal-?Dorfgastein,47.23837965,13.17939658,Austria,Europe,50,December - April,2033,850,25,43,1,69,8,0,7,8,5,20,29710,Yes,Yes,No,No,1,0,1,1,0,0,5,grossarltal dorfgastein,118.0,Großarltal/Dorfgastein,1043.0,118.0
253,Thredbo,-36.5047751,148.3057091,Australia,Oceania,84,June - September,2037,1365,7,60,3,70,5,177,7,7,0,14,17050,Yes,Yes,No,Yes,12,2,1,1,0,1,4,thredbo,,,,
254,Stowe,44.4654236,-72.6854695,USA,North America,106,November - April,1116,390,20,42,8,70,6,400,3,8,2,13,20300,Yes,Yes,Yes,No,10,1,1,1,1,0,6,stowe,162.0,Stowe,1027.6,162.0
255,Katschberg,47.0593103,13.615553,Austria,Europe,46,November - April,2220,1066,10,50,10,70,6,750,9,6,2,17,26458,Yes,Yes,Yes,No,1,0,1,1,1,0,6,katschberg,224.0,Katschberg,1010.8,224.0
256,Valfre?jus,45.162254,6.657267525,France,Europe,29,December - April,2737,1550,40,20,10,70,0,80,5,4,1,10,15800,Yes,Yes,No,No,8,0,1,1,0,0,5,valfre jus,338.0,Valfréjus,985.9,338.0
257,Savognin,46.596957,9.5981493,Switzerland,Europe,50,December - April,2713,1200,32,38,0,70,11,100,10,2,1,13,14000,Yes,Yes,Yes,No,6,0,1,1,1,0,5,savognin,243.0,Savognin,1006.4,243.0
258,Scuol-Motta Naluns,46.811169,10.2726212,Switzerland,Europe,50,December - April,2785,1250,27,32,11,70,10,136,6,6,1,13,18000,Yes,Yes,No,No,6,0,1,1,0,0,5,scuol motta naluns,156.0,Scuol – Motta Naluns,1028.9,156.0
259,Okemo,43.41769055,-72.69828454,USA,North America,86,November - April,1019,348,22,26,22,70,0,0,7,13,0,20,29050,Yes,Yes,Yes,No,10,1,1,1,1,0,6,okemo,374.0,Okemo,979.5,374.0
