ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Country_numeric,Continent_numeric,Child friendly_numeric,Snowparks_numeric,Nightskiing_numeric,Summer skiing_numeric,Season_numeric,key,Rank,Other_name,Rating,rank
72,Montgene?vre (Via Lattea),44.929277,6.729726,France,Europe,48,November - April,2749,1372,96,220,84,400,0,0,29,35,7,71,96433,Yes,No,Yes,No,8,0,1,0,1,0,6,montgene vre via lattea,401.0,Bonneval sur Arc,975.0,401.0
73,Bonneval sur Arc,45.3716864,7.0467945,France,Europe,28,December - April,3000,1850,13,11,1,25,0,0,8,3,0,11,8213,Yes,No,No,No,8,0,1,0,0,0,5,bonneval sur arc,2810.0,Val d'Arc - Bessans,830.7,2810.0
74,Val Thorens (Les 3 Valle?es),45.2979109,6.5822693,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No,8,0,1,1,1,0,7,val thorens les 3 valle es,616.0,Thollon les Mémises,943.4,616.0
75,Serre Chevalier-Brianc?on/?Chantemerle/?Villeneuve-la-Salle/?Le Mone?tier-les-Bains,44.9107381,6.5500282,France,Europe,49,December - April,2800,1200,138,80,32,250,9,575,33,21,7,61,72066,Yes,Yes,Yes,No,8,0,1,1,1,0,5,serre chevalier brianc on chantemerle villeneuve la salle le mone tier les bains,22.0,Serre Chevalier,1125.4,22.0
76,Kleine Scheidegg / ?Ma?nnlichen-Grindelwald / ?Wengen,46.5850987,7.9608968,Switzerland,Europe,55,November - April,2320,944,33,56,13,102,13,0,10,10,6,26,29250,Yes,No,No,No,6,0,1,0,0,0,6,kleine scheidegg ma nnlichen grindelwald wengen,2899.0,Wengen,828.1,2899.0
77,Balme-?Les Autannes-Vallorcine-?Le Tour,46.2856827,4.7804099,France,Europe,51,December - April,2270,1453,13,16,0,29,0,0,8,2,2,12,14860,Yes,Yes,No,No,8,0,1,1,0,0,5,balme les autannes vallorcine le tour,193.0,Balme/Les Autannes,1018.8,193.0
78,Grands Montets-Argentie?re (Chamonix),45.9777193,6.9238925,France,Europe,62,December - May,3275,1252,6,9,14,29,6,0,1,4,4,9,15756,Yes,Yes,No,No,8,0,1,1,0,0,6,grands montets argentie re chamonix,4.0,Chamonix Mont-Blanc,1214.2,4.0
79,Winter Park Resort,39.87161425,-105.7827088,USA,North America,119,November - April,3676,2743,11,53,79,143,7,36,5,19,1,25,41130,Yes,Yes,No,No,10,1,1,1,0,0,6,winter,55.0,Winter Park Resort,1085.6,55.0
80,Arcali?s-Ordino (Vallnord),42.6271621,1.491260579,Andorra,Europe,37,November - April,2625,1940,13,14,3,30,5,106,10,4,1,15,14240,Yes,Yes,No,No,11,0,1,1,0,0,6,arcali s ordino vallnord,560.0,Ordino Arcalís,949.7,560.0
81,Ruka,66.1702656,29.1311291,Finland,Europe,43,October - June,492,291,9,7,2,18,1,70,17,5,0,22,22915,Yes,Yes,Yes,No,14,0,1,1,1,0,9,ruka,322.0,Ruka,989.5,322.0
